agent_type,p01,p02,p03,p04,p05,loss
TMT,0.7770905163262601,0.7519583783332368,1.4344292015882427,1.4170657913746763,12.380020914515677,3.470911553338012e-07
FPCT,0.7771844755853738,0.7519272162833222,1.4344206300515234,1.4168411664598848,12.371764921573334,3.540176691804514e-07
FPCT,0.777064874530858,0.7519057988896375,1.4345410389305133,1.4169644221716107,12.373910019645738,3.6184848609783277e-07
FPCT,0.7762627588243454,0.7522741450736738,1.4367789924166237,1.4142702740751179,12.25918808992099,6.614002454137891e-07
FPCT,0.7809196871356548,0.7564630616534526,1.4103877431354122,1.4283374166714666,11.689761327712883,8.551666897588579e-07
FPCT,0.7954164829596653,0.7431030768430766,1.4400234864030383,1.3919666627916505,13.422473157166749,2.2067396404630706e-06
FPCT,0.7721859690871125,0.7488067618007952,1.4358760767617116,1.4283943513160158,12.850294624344539,2.334859736344254e-06
FPCT,0.791866598978873,0.7388202477274501,1.4355029575315745,1.4092790234656134,11.830832528390458,2.593212452435298e-06
FPCT,0.7910354209732215,0.7549841672516577,1.4296565897757059,1.39775351804867,12.388560228109572,3.619537864433318e-06
FPCT,0.79355914515914,0.7536076753115264,1.4329097709457683,1.3942185795377993,11.655122159938387,6.160268410065031e-06
FPCT,0.7715236641373667,0.7508881127189573,1.4407467808144117,1.4163527253555768,13.699931031455703,7.064604632495961e-06
FPCT,0.837941773305871,0.727303476968823,1.4245146346914415,1.3673274140538427,12.520242531809398,1.0627348475727283e-05
FPCT,0.7026981033329592,0.8068652450232583,1.4901543151652636,1.4113967191558356,11.575520904125373,1.8961262828748976e-05
FPCT,0.7422580378804741,0.7736758234258674,1.4780692051419235,1.4068589554787527,13.916301765168498,2.2498894624344475e-05
FPCT,0.7791130007568445,0.7487100310470461,1.41378784996891,1.456196285051667,11.696589490274253,2.5107297980715073e-05
FPCT,0.7754490201783127,0.7481248544986203,1.4401342327958524,1.403670689388751,13.252287192998347,3.417380802964453e-05
FPCT,0.7755851535985094,0.7362533326423121,1.3931020077817862,1.4707483668213335,12.355131485658609,4.7706090110501275e-05
FPCT,0.7708081136181044,0.7389634630252806,1.4426618872269366,1.4219376006088749,14.119481510063581,5.000898897310693e-05
FPCT,0.8089181118334275,0.7354430562212976,1.2468714307924125,1.5800855702803784,20.275806264156408,6.646716597977413e-05
FPCT,0.7760795182953802,0.7581089555173607,1.4131708006147154,1.4072895201444273,11.619070888016923,7.126707793811113e-05
FPCT,0.7560240533695654,0.7555285085508072,1.4434545243521353,1.414965359860653,11.404485217340598,7.232278587963249e-05
FPCT,0.8236299554673784,0.7717066506818926,1.5590307929633263,1.1958743860591927,15.247878567007808,9.348035632306107e-05
FPCT,0.7686932456399141,0.7432140729351189,1.4399875437093632,1.4100480546842795,13.57587634786875,0.00011129591756942388
FPCT,0.7582195504509698,0.9166945766613277,1.3975511093309017,1.2485505933979235,17.92804033848659,0.00011757902454637223
FPCT,0.7917758852366386,0.7312561019402442,1.4191118840910926,1.4057934592376362,13.307821469278517,0.00016130404230162938
FPCT,0.8922417161074188,0.6477917334649475,1.4181940064357763,1.4559108556906957,3.0712220298339084,0.00016372142734629128
FPCT,0.6906918211783658,0.7832155251924049,1.5434468920654796,1.3777473633465824,12.178293550609876,0.00017765106815424171
FPCT,0.7988300081970161,0.763426577178164,1.444261263502668,1.389965536649761,12.259380861059883,0.00017933520449819437
FPCT,0.7705917191071145,0.7477969622856258,1.4344752686008464,1.394583157101092,13.719831213551117,0.0001924487247887288
FCT,0.7538952160112067,0.7762403796565783,1.475626365430936,1.3362176744086844,12.842452990353747,0.0001981167103577299
FCT,0.8318830899295262,0.8015336669277122,1.5111924243699617,1.1611578160771086,6.108564175177346,0.00021270604673172386
FCT,0.9665031719414199,0.6978115277561616,1.2568073720369695,1.4065876152130956,5.260754670240727,0.00022902367827172903
LPCT,0.8086331390185838,0.7708061266579977,1.4246390615543567,1.3898277909914674,10.735701138670422,0.00025720972859488684
LPCT,0.8050331796201409,0.7162026919221035,1.420539498542887,1.4950740170742483,12.524327417321558,0.0002607172570990733
LPCT,0.684498452514592,0.7971475077429114,1.65947777312572,1.2424619964284502,14.154959566252103,0.00044475299896051996
LPCT,1.0617917510886856,0.568368859847884,1.3828527342779984,1.352576086952065,0.0,0.0005252102965701357
LPCT,0.69767604891836,0.7575504825780603,1.5116930571728104,1.5149979534733768,21.43684596585291,0.0005301669754725729
LPCT,0.7501388440712374,0.7571797165264592,1.4392154532019161,1.3803883132420387,14.592318039946393,0.0005657208528959824
LPCT,0.7582349344419022,0.7894734573477983,1.3351610913911842,1.4182505157004575,12.445581777220895,0.0005683620944278086
LPCT,0.9058308078911695,0.8262553812679774,1.2738450702831268,1.2165960446751258,26.42096075117007,0.0005969462210485667
LPCT,0.7995982151283236,0.7025175703138097,1.3986403829811185,1.4288944482684802,14.709480569313897,0.0006063551683404944
LPCT,0.776246381690845,0.6364852874100304,1.540457993812859,1.4417477503263545,14.491631674178327,0.0006340560519803723
LPCT,0.7895245262608104,0.7947504218592492,1.420480105714288,1.4158062350208687,12.875446630447184,0.0006983428711163992
LPCT,0.4752786104723847,0.8779404292736531,1.704253862360884,1.4679743005923331,5.841643092975838,0.0009489457619946041
LPCT,0.8330230108539248,0.7532174729832373,1.4530439872156538,1.3936938833031547,12.19057616256435,0.0010186336872405036
LPCT,0.802219927588564,0.6948900497403097,1.4636373298159722,1.3322846623561007,13.00387252613022,0.0012580646488593032
LPCT,0.5656476496073183,0.8274001714134193,1.4550242819541808,1.5276491465430961,24.612842430655597,0.0013391905930532496
LPCT,0.5881567954720373,0.7502706193267237,1.4469527248425547,1.6405497157103213,15.147125939625859,0.0013622365038815803
LPCT,0.7153161782943669,0.8049466537152891,1.1950425121932162,1.7224243843071272,32.85981397970559,0.0014701236170237128
LPCT,0.8184159972836292,0.7442537522384762,1.3671528011241922,1.55960798066712,20.352772687538454,0.0020513219352572385
LPCT,0.8585949918592859,0.7301737753947517,1.470963869437121,1.429946694581151,12.691315466836555,0.0027240104568015395
LPCT,1.0048228272845217,0.576058465603657,1.5972211207610467,1.2494861200497227,10.783529254753596,0.003236765394375977
LPCT,0.8449521429721546,0.6022746577416543,1.2361765292429912,1.6477852314960688,16.46652889014068,0.0035035802538953306
LPCT,0.7328755540075454,0.7581337335873518,1.3280724452119281,1.4175105367205225,14.154443789521341,0.0035160278798484442
LPCT,0.6551247467698422,0.9135736053181994,1.3015549637038348,1.6200912854114329,0.0,0.003639223830892082
LPCT,0.877994333096307,0.6981738362038873,1.6249687376920918,1.327702463130277,20.0078722672037,0.0055089256391908275
LPCT,0.7265031856445764,0.8608834527388494,1.5607893405642084,1.5045971656532822,9.37536444897633,0.01057982601310485
LPCT,0.7713084389978131,0.8380075371721972,1.7273999481292763,1.4627479330422641,22.62960088886736,0.02465796236186787
LPCT,0.9032655454271545,0.8158930759653272,1.5237926298475493,1.5805210957349631,10.775435143336678,0.03535026744272168
LPCT,0.9179497905427348,0.987557847699967,1.900921296246437,1.4120192307881196,29.19776375899295,0.11975173806838244
