scenario,seed,loss,phi_b1,phi_b2,n,rs
"A: dPhi=0.20, Rs=10",11,0.0006589248504008364,0.7998229681883828,0.9524960184352025,1.4669148023934064,173.03146709024756
"A: dPhi=0.20, Rs=10",17,0.00042523963764929887,0.8002454875813744,1.0006058025842788,1.1340405174109531,134.57093194389114
"A: dPhi=0.20, Rs=10",23,0.00034875417818376305,0.799967534484654,0.9936876439710034,1.1528098677915752,168.16317645269035
"A: dPhi=0.20, Rs=10",29,0.00047381529268947036,0.7998424920975655,0.9677377306796742,1.3423314792527958,134.32385726794845
"A: dPhi=0.20, Rs=10",35,0.00047707029642735126,0.7998992122488814,1.011579787279174,1.088412325936516,115.99748742385904
"A: dPhi=0.20, Rs=10",41,0.0005484049204292264,0.800462065711574,0.9971156587967069,1.1108866555556454,155.80014889716648
"B: dPhi=0.50, Rs=10",11,0.0010303478732374602,0.6497599722479873,1.0357124493112353,1.4560106470469885,145.6201091181836
"B: dPhi=0.50, Rs=10",17,0.0002836053905000762,0.6501924000886007,1.179784860145786,1.0565860869090047,12.512169037195195
"B: dPhi=0.50, Rs=10",23,0.00045393099077355284,0.6501840341417975,1.099504756270933,1.2390446878911308,108.27534991683676
"B: dPhi=0.50, Rs=10",29,0.0004394964050021766,0.6497975827337472,1.092233379281972,1.2500729359061322,148.0651632843411
"B: dPhi=0.50, Rs=10",35,0.003902738576109084,0.6517402618199415,0.9981479026735951,1.5172041994587824,204.26740384788394
"B: dPhi=0.50, Rs=10",41,0.0004437913918805939,0.6497057025862086,1.1097289884693258,1.1953062628613966,103.3118583949416
"C: dPhi=0.20, Rs=120",11,0.0013063709142496253,0.8002664017322216,0.9429470032921152,1.4974100008332147,141.87720303953475
"C: dPhi=0.20, Rs=120",17,0.0005047479125459336,0.7999473436661093,0.9753654708161243,1.2868713633494115,77.5802846476095
"C: dPhi=0.20, Rs=120",23,0.0010608862235267223,0.7996883286813399,0.9868886343924539,1.135853239139534,130.03768916426847
"C: dPhi=0.20, Rs=120",29,0.0005848230685454008,0.7998010925332911,0.9648722615530039,1.353716328314932,179.87333202117105
"C: dPhi=0.20, Rs=120",35,0.0010532910851228337,0.8004413299124657,0.9878391853637598,1.2484512028832013,236.41156453913445
"C: dPhi=0.20, Rs=120",41,0.0004903546465036663,0.7999460481078572,0.9768873866982932,1.2712317382748832,187.9167311643452
"D: dPhi=0.50, Rs=220",11,0.007668167978488909,0.6519609889900881,0.9663308923244345,1.6530807874161217,174.48214272342332
"D: dPhi=0.50, Rs=220",17,0.00045320134816501486,0.6502398513872392,1.0374670909224266,1.4733397408063982,63.47067994233904
"D: dPhi=0.50, Rs=220",23,0.0005015847779997542,0.6505261026558429,1.13736404044836,1.1611508392915748,204.42409130229174
"D: dPhi=0.50, Rs=220",29,0.0008573558763888577,0.6507540553499642,1.0930706625646578,1.2534836373954505,125.51189422700216
"D: dPhi=0.50, Rs=220",35,0.00035839410566489957,0.6502110684452828,1.1366052931514317,1.170065225233627,114.54177621166882
"D: dPhi=0.50, Rs=220",41,0.0004620640831501075,0.6496734898011217,1.1248593349404543,1.205674538255666,89.63201160966145
